project,run_id,run_name,step,metric,value
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1900,time/hrs,0.3372334420018726
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1900,loss/total,0.02508275955915451
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1900,debug/z_std,0.9735004901885986
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1900,loss/mse,0.007065522018820047
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1900,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1900,stats/psnr,21.50855827331543
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1900,amp/scale,65536
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1900,loss/lpips,0.0900861918926239
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,1900,stats/keep_prob,0.578707218170166
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2000,stats/masked_frac,0.4742431640625
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2000,time/hrs,0.35495408554871877
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2000,loss/total,0.024251872673630714
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2000,debug/z_std,0.982747495174408
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2000,loss/mse,0.0071060508489608765
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2000,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2000,stats/psnr,21.483718872070312
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2000,amp/scale,131072
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2000,loss/lpips,0.08572910726070404
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2000,stats/keep_prob,0.5260516405105591
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2100,stats/masked_frac,0.451446533203125
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2100,time/hrs,0.3727901899814606
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2100,loss/total,0.024227233603596687
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2100,debug/z_std,0.9879612922668457
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2100,loss/mse,0.0071321208961308
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2100,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2100,stats/psnr,21.467815399169922
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2100,amp/scale,131072
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2100,loss/lpips,0.08547556400299072
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2100,stats/keep_prob,0.5482040047645569
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2200,stats/masked_frac,0.4512481689453125
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2200,time/hrs,0.39054275314013165
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2200,loss/total,0.022832006216049194
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2200,debug/z_std,0.98319011926651
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2200,loss/mse,0.007366301491856575
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2200,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2200,stats/psnr,21.327505111694336
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2200,amp/scale,131072
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2200,loss/lpips,0.07732852548360825
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2200,stats/keep_prob,0.5490778684616089
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2300,stats/masked_frac,0.446502685546875
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2300,time/hrs,0.4083000792397393
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2300,loss/total,0.023043354973196983
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2300,debug/z_std,0.9878267645835876
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2300,loss/mse,0.006967311725020409
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2300,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2300,stats/psnr,21.56934928894043
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2300,amp/scale,131072
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2300,loss/lpips,0.08038021624088287
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2300,stats/keep_prob,0.5546432733535767
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2400,stats/masked_frac,0.4604034423828125
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2400,time/hrs,0.4260440895954768
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2400,loss/total,0.020872952416539192
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2400,debug/z_std,0.9895673394203186
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2400,loss/mse,0.006085236556828022
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2400,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2400,stats/psnr,22.1572265625
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2400,amp/scale,131072
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2400,loss/lpips,0.07393857836723328
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2400,stats/keep_prob,0.5394539833068848
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2500,stats/masked_frac,0.4735260009765625
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2500,time/hrs,0.44380340821213193
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2500,loss/total,0.02089349925518036
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2500,debug/z_std,0.9906145334243774
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2500,loss/mse,0.006401051767170429
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2500,lr,0.0001
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2500,stats/psnr,21.93748664855957
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2500,amp/scale,131072
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2500,loss/lpips,0.07246223837137222
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2500,stats/keep_prob,0.5264729261398315
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2600,stats/masked_frac,0.45367431640625
dreamer4-tokenizer,qpuq9n6z,pusht-tokenizer,2600,time/hrs,0.4616445290380054
